yday,s1,s2,s3,s4,s5,s6,v1,v2,v3,v4,v5,v6,wday
364,10003,10036,10019,10036,10036,10036,24,13,4,6,18,39,5
365,10011,10036,10011,10003,10012,10003,59,41,10,8,17,26,6
366,10019,10003,10012,10019,10003,10003,34,19,3,7,23,24,0
367,10003,10036,10002,10003,10036,10003,25,6,6,13,16,16,1
368,10019,10003,10128,10001,10017,10036,9,5,2,12,11,14,2
369,10003,10011,10012,10010,10003,10003,15,4,4,18,17,14,3
370,10019,10036,10011,10036,10036,10036,13,8,6,13,14,20,4
371,10003,10003,10019,10010,10017,10036,18,6,4,8,11,14,5
372,10003,10019,10011,10003,10009,10001,18,9,6,9,8,11,6
373,10036,10003,10007,10009,10036,10003,14,13,3,7,12,19,0
374,10003,10039,10003,10003,10003,10019,15,10,10,11,16,14,1
375,10011,10011,10018,10001,10004,10001,35,12,8,13,10,16,2
376,10012,10003,10003,10003,10001,10036,29,24,12,17,10,8,3
377,10036,10128,10014,10003,10014,10003,12,4,3,16,12,11,4
378,10003,10036,10016,10036,10001,10003,13,6,3,13,6,7,5
379,10003,10001,10020,10011,10011,10003,13,4,1,4,8,9,6
380,10003,10027,10003,10009,10012,10036,15,4,2,9,8,10,0
381,10036,10003,10012,10019,10012,10003,12,14,2,3,7,5,1
382,10002,10002,10036,10019,10019,10001,3,2,2,5,5,6,2
383,10002,10036,10002,10011,10011,10032,4,3,2,3,2,4,3
384,10003,-1,10004,-1,10065,-1,3,-1,2,-1,1,-1,4
385,-1,10009,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,5
